sample,condition,gene,normalized_counts
ana2,ana,CEMIP,56.2483951514908
ana2,ana,ADAMTSL3,48.0455041918984
ana2,ana,HSD17B2,4.68736626262424
ana2,ana,NGFR,399.597973888716
ana2,ana,DSC3,1832.76020868608
ana2,ana,DSG3,2501.88174267569
ana2,ana,CAPS,30.4678807070575
ana2,ana,KLF2,15.2339403535288
ana2,ana,CXCL17,356.239835959442
ana2,ana,MMP9,1750.73129909015
ana2,ana,CYP24A1,7.03104939393636
ana3,ana,S100A9,3848.15863609629
ana3,ana,HSPA6,22.3057713985831
ana3,ana,HSD11B1,35.5240063014471
ana3,ana,RHOB,161.923377560084
ana3,ana,CYP1B1,23.9580507614411
ana3,ana,IL1RL1,40.4808443900211
ana3,ana,OSBPL6,38.8285650271631
ana3,ana,MAP2,432.897193068797
ana3,ana,PID1,113.181136355773
ana3,ana,CP,1106.20103343343
ana3,ana,CLGN,30.5671682128731
ana3,ana,SFRP2,18.1750729914381
ana3,ana,IRF1,159.444958515797
ana3,ana,PCDHGA10,47.0899618414531
ana3,ana,BMP6,25.6103301242991
ana3,ana,HIST1H1C,51.2206602485982
ana3,ana,GSTA1,11.565955540006
ana3,ana,AL355312.4,8.26139681429002
ana3,ana,PCLO,321.368336075882
ana3,ana,NRCAM,36.3501459828761
ana3,ana,ZBED6CL,7.43525713286102
ana3,ana,HR,180.924590232952
ana3,ana,PTPRD,42.9592634343081
ana3,ana,C9orf24,1.652279362858
ana3,ana,IER5L,146.226723612933
ana3,ana,AKR1C1,1392.8715028893
ana3,ana,MSMB,1130.15908419488
ana3,ana,CDKN1C,73.5264316471812
ana3,ana,C11orf68,20.6534920357251
ana3,ana,MMP1,413.89598039593
ana3,ana,COLCA1,19.0012126728671
ana3,ana,KCNJ5,28.0887491685861
ana3,ana,EMP1,1136.76820164631
ana3,ana,ALDH1L2,30.5671682128731
ana3,ana,HCAR3,29.7410285314441
ana3,ana,CLDN10,2.47841904428701
ana3,ana,AL357093.2,2.47841904428701
ana3,ana,BMF,14.870514265722
ana3,ana,C2CD4A,60.3081967443172
ana3,ana,C2CD4B,38.0024253457341
ana3,ana,CEMIP,101.615180815767
ana3,ana,ADAMTSL3,60.3081967443172
ana3,ana,HSD17B2,8.26139681429002
ana3,ana,NGFR,253.624882198704
ana3,ana,DSC3,1795.20152774522
ana3,ana,DSG3,1366.43503308357
ana3,ana,CAPS,28.9148888500151
ana3,ana,KLF2,16.52279362858
ana3,ana,CXCL17,449.419986697377
ana3,ana,MMP9,760.048506914682
ana3,ana,CYP24A1,27.2626094871571
ana4,ana,S100A9,7479.40528387078
ana4,ana,HSPA6,15.0837905465559
ana4,ana,HSD11B1,38.786889976858
ana4,ana,RHOB,163.766868791178
ana4,ana,CYP1B1,20.4708585988973
ana4,ana,IL1RL1,31.24499470358
ana4,ana,OSBPL6,62.4899894071601
ana4,ana,MAP2,372.785109222024
ana4,ana,PID1,190.702209052885
ana4,ana,CP,643.215925449562
ana4,ana,CLGN,114.205842709637
ana4,ana,SFRP2,16.1612041570242
ana4,ana,IRF1,150.837905465559
ana4,ana,PCDHGA10,48.4836124710725
ana4,ana,BMP6,36.6320627559214
ana4,ana,HIST1H1C,49.5610260815408
ana4,ana,GSTA1,12.9289633256193
ana4,ana,AL355312.4,8.61930888374622
ana4,ana,PCLO,322.146669530015
ana4,ana,NRCAM,48.4836124710725
ana4,ana,ZBED6CL,5.38706805234139
ana4,ana,HR,212.250481262251
ana4,ana,PTPRD,61.4125757966918
ana4,ana,C9orf24,5.38706805234139
ana4,ana,IER5L,90.5027432793353
ana4,ana,AKR1C1,1717.39729508643
ana4,ana,MSMB,652.912647943776
ana4,ana,CDKN1C,34.4772355349849
ana4,ana,C11orf68,23.7030994303021
ana4,ana,MMP1,724.021946234682
ana4,ana,COLCA1,23.7030994303021
ana4,ana,KCNJ5,30.1675810931118
ana4,ana,EMP1,1112.96825961373
ana4,ana,ALDH1L2,60.3351621862235
ana4,ana,HCAR3,30.1675810931118
ana4,ana,CLDN10,7.54189527327794
ana4,ana,AL357093.2,5.38706805234139
ana4,ana,BMF,19.393444988429
ana4,ana,C2CD4A,47.4061988606042
ana4,ana,C2CD4B,26.9353402617069
ana4,ana,CEMIP,101.276879384018
ana4,ana,ADAMTSL3,31.24499470358
ana4,ana,HSD17B2,14.0063769360876
ana4,ana,NGFR,316.759601477674
ana4,ana,DSC3,1630.1267926385
ana4,ana,DSG3,1743.25522173767
ana4,ana,CAPS,23.7030994303021
ana4,ana,KLF2,9.6967224942145
ana4,ana,CXCL17,188.547381831949
ana4,ana,MMP9,1841.29986029029
ana4,ana,CYP24A1,36.6320627559214
ana5,ana,S100A9,7414.07458740761
ana5,ana,HSPA6,13.0343031972884
ana5,ana,HSD11B1,59.4690083376284
ana5,ana,RHOB,180.850956862377
ana5,ana,CYP1B1,30.95647009356
ana5,ana,IL1RL1,43.9907732908484
ana5,ana,OSBPL6,55.3957885884757
ana5,ana,MAP2,403.24875516611
ana5,ana,PID1,142.562691220342
ana5,ana,CP,654.973735663742
ana5,ana,CLGN,75.7618873342389
ana5,ana,SFRP2,12.2196592474579
ana5,ana,IRF1,171.07522946441
ana5,ana,PCDHGA10,30.1418261437294
ana5,ana,BMP6,22.8100305952547
ana5,ana,HIST1H1C,57.0250764881368
ana5,ana,GSTA1,14.6635910969495
ana5,ana,AL355312.4,5.70250764881368
ana5,ana,PCLO,315.267208584413
ana5,ana,NRCAM,40.7321974915263
ana5,ana,ZBED6CL,6.5171515986442
ana5,ana,HR,195.514547959326
ana5,ana,PTPRD,60.2836522874589
ana5,ana,C9orf24,4.07321974915263
ana5,ana,IER5L,88.7961905315273
ana5,ana,AKR1C1,1816.65600812207
ana5,ana,MSMB,777.984972088152
ana5,ana,CDKN1C,39.9175535416957
ana5,ana,C11orf68,26.8832503444073
ana5,ana,MMP1,423.614853911873
ana5,ana,COLCA1,13.0343031972884
ana5,ana,KCNJ5,26.0686063945768
ana5,ana,EMP1,1574.70675502241
ana5,ana,ALDH1L2,56.2104325383063
ana5,ana,HCAR3,26.0686063945768
ana5,ana,CLDN10,3.2585757993221
ana5,ana,AL357093.2,1.62928789966105
ana5,ana,BMF,22.8100305952547
ana5,ana,C2CD4A,55.3957885884757
ana5,ana,C2CD4B,21.1807426955937
ana5,ana,CEMIP,95.3133421301715
ana5,ana,ADAMTSL3,17.9221668962716
ana5,ana,HSD17B2,5.70250764881368
ana5,ana,NGFR,186.55346451119
ana5,ana,DSC3,1122.57936286646
ana5,ana,DSG3,1060.66642267934
ana5,ana,CAPS,30.95647009356
ana5,ana,KLF2,7.33179554847473
ana5,ana,CXCL17,355.184762126109
ana5,ana,MMP9,1599.96071746715
ana5,ana,CYP24A1,30.1418261437294
ana6,ana,S100A9,9174.50489262005
ana6,ana,HSPA6,15.1450903493914
ana6,ana,HSD11B1,19.0535007621376
ana6,ana,RHOB,85.9850290804158
ana6,ana,CYP1B1,38.1070015242752
ana6,ana,IL1RL1,13.6794364446116
ana6,ana,OSBPL6,67.9086309214648
ana6,ana,MAP2,170.015852954459
ana6,ana,PID1,60.5803613975657
ana6,ana,CP,656.124398039764
ana6,ana,CLGN,82.5651699692629
ana6,ana,SFRP2,13.1908851430183
ana6,ana,IRF1,132.88595403337
ana6,ana,PCDHGA10,76.7025543501437
ana6,ana,BMP6,18.0763981589511
ana6,ana,HIST1H1C,57.1605022864128
ana6,ana,GSTA1,26.8703215876299
ana6,ana,AL355312.4,5.37406431752599
ana6,ana,PCLO,244.275650796636
