sample,condition,gene,normalized_counts
ana5,ana,AC012313.1,14.1494311721152
ana5,ana,PLCB1,47.400594426586
ana5,ana,BPIFA2,171.208117182594
ana5,ana,TIAM1,129.467295224854
ana6,ana,HES5,1.63768452253364
ana6,ana,POU3F1,4.91305356760093
ana6,ana,EDN2,7.36958035140139
ana6,ana,FAM183A,14.7391607028028
ana6,ana,PIFO,26.2029523605383
ana6,ana,AL451085.1,0
ana6,ana,HSPA6,36.0290594957401
ana6,ana,FMO2,4.09421130633411
ana6,ana,LEMD1,9.82610713520186
ana6,ana,EHD3,27.8406368830719
ana6,ana,CYP1B1,54.862431504877
ana6,ana,DUSP2,39.3044285408074
ana6,ana,AC013264.1,1.63768452253364
ana6,ana,HES1,558.450422183972
ana6,ana,ADH1C,16.3768452253364
ana6,ana,PCDH10,1.63768452253364
ana6,ana,C5orf49,27.8406368830719
ana6,ana,CDC20B,2.45652678380046
ana6,ana,FAM169A,51.5870624598097
ana6,ana,LTC4S,18.0145297478701
ana6,ana,HSPA1A,987.523767087787
ana6,ana,HSPA1B,610.037484643782
ana6,ana,GSTA1,170.319190343499
ana6,ana,AL355312.4,15.5580029640696
ana6,ana,PIP,106.449493964687
ana6,ana,NEFM,12.2826339190023
ana6,ana,EFCAB1,8.18842261266821
ana6,ana,ARC,1.63768452253364
ana6,ana,C9orf24,15.5580029640696
ana6,ana,GADD45G,57.3189582886775
ana6,ana,PALM2-AKAP2,94.9857023069513
ana6,ana,IER5L,170.319190343499
ana6,ana,MSMB,6545.0061943057
ana6,ana,DYDC2,0.818842261266821
ana6,ana,INA,65.5073809013457
ana6,ana,FUOM,31.934848189406
ana6,ana,PGGHG,17.1956874866032
ana6,ana,CDKN1C,63.8696963788121
ana6,ana,LINC02709,4.09421130633411
ana6,ana,MMP7,18.8333720091369
ana6,ana,MIR200CHG,18.0145297478701
ana6,ana,ERP27,3.27536904506729
ana6,ana,AC023157.3,54.862431504877
ana6,ana,NR4A1,88.4349642168167
ana6,ana,PCDH9,8.18842261266821
ana6,ana,LINC02300,25.3841100992715
ana6,ana,FOS,614.950538211383
ana6,ana,AL357093.2,4.09421130633411
ana6,ana,CYP1A1,0.818842261266821
ana6,ana,MSLN,29.4783214056056
ana6,ana,CRYM,8.18842261266821
ana6,ana,CHP2,28.6594791443387
ana6,ana,HSD17B2,54.0435892436102
ana6,ana,ZFPM1,33.5725327119397
ana6,ana,LINC00324,18.8333720091369
ana6,ana,RASD1,20.4710565316705
