sample,condition,gene,normalized_counts
ana2,ana,CAVIN1,79.4958322317417
ana2,ana,NGFR,61.7261756152347
ana2,ana,AC015813.8,0.935245085079314
ana2,ana,LPO,9.35245085079314
ana2,ana,SMIM5,20.5753918717449
ana2,ana,MTCL1,34.6040681479346
ana2,ana,DSC3,102.876959358724
ana2,ana,DSG3,87.9130379974555
ana2,ana,PARD6G-AS1,31.7983328926967
ana2,ana,AC005523.1,2.80573525523794
ana2,ana,PEX11G,7.48196068063451
ana2,ana,FBXW9,41.1507837434898
ana2,ana,MISP3,33.6688230628553
ana2,ana,CRLF1,21.5106369568242
ana2,ana,IL4I1,12.1581861060311
ana2,ana,AC010624.1,2.80573525523794
ana2,ana,AC010624.5,3.74098034031725
ana2,ana,TMEM238,8.41720576571382
ana2,ana,AL121899.1,17.769656616507
ana2,ana,SPEF1,59.8556854450761
ana2,ana,RALY-AS1,5.61147051047588
ana2,ana,WFDC6,6.5467155955552
ana2,ana,EPPIN,8.41720576571382
ana2,ana,C20orf85,657.477294810757
ana2,ana,LKAAEAR1,11.2229410209518
ana2,ana,FAM3B,5.61147051047588
ana2,ana,UMODL1-AS1,1.87049017015863
ana2,ana,RSPH14,10.2876959358724
ana2,ana,Z95115.1,4.67622542539657
ana2,ana,AC004832.1,19.6401467866656
ana2,ana,RIBC2,63.5966657853933
ana2,ana,LINC01589,13.0934311911104
ana2,ana,SYCE3,9.35245085079314
ana2,ana,FAM104B,71.0786264660278
ana2,ana,SLC16A2,56.1147051047588
ana2,ana,PIH1D3,26.1868623822208
ana2,ana,AKAP14,133.740047166342
ana2,ana,AC244090.1,81.3663224019003
ana3,ana,C1orf158,18.561279733921
ana3,ana,RCAN3AS,2.65161139056015
ana3,ana,ZSCAN20,14.5838626480808
ana3,ana,POU3F1,5.3032227811203
ana3,ana,FAM183A,506.457775596989
ana3,ana,TCTEX1D4,106.064455622406
ana3,ana,AL358075.2,5.3032227811203
ana3,ana,C1orf87,14.5838626480808
ana3,ana,TCTEX1D1,66.2902847640037
ana3,ana,C1orf141,31.8193366867218
ana3,ana,C1orf194,816.696308292526
ana3,ana,PIFO,619.151259695795
ana3,ana,TSPAN2,9.28063986696052
ana3,ana,LINC01765,17.235474038641
ana3,ana,RIIAD1,119.322512575207
ana3,ana,C1orf189,38.4483651631222
ana3,ana,AL451085.1,5.3032227811203
ana3,ana,PPOX,50.3806164206428
ana3,ana,CFAP126,209.477299854252
ana3,ana,HSPA6,404.370737060423
ana3,ana,ANKRD45,34.4709480772819
ana3,ana,APOBEC4,10.6064455622406
ana3,ana,NIBAN1,322.170783953058
ana3,ana,LINC00467,41.0999765536823
ana3,ana,NEK2,13.2580569528007
ana3,ana,AC096637.2,9.28063986696052
ana3,ana,SPATA17,110.041872708246
ana3,ana,CNIH3,10.6064455622406
ana3,ana,ACBD3-AS1,66.2902847640037
ana3,ana,PTRHD1,90.1547872790451
ana3,ana,FAM166C,9.28063986696052
ana3,ana,CCDC121,22.5386968197613
ana3,ana,CYP1B1,17.235474038641
ana3,ana,C2orf73,72.9193132404041
ana3,ana,WDR54,180.30957455809
ana3,ana,DNAH6,127.277346746887
ana3,ana,TEKT4,21.2128911244812
ana3,ana,ECRG4,132.580569528007
ana3,ana,NPHP1,190.916020120331
ana3,ana,AC104653.1,11.9322512575207
ana3,ana,NEB,14.5838626480808
ana3,ana,AC013264.1,87.5031758884849
ana3,ana,AC006994.2,27.8419196008816
ana3,ana,CATIP,23.8645025150413
ana3,ana,LINC02832,1.32580569528007
ana3,ana,HDAC4-AS1,11.9322512575207
ana3,ana,SRGAP3-AS2,43.7515879442425
ana3,ana,NDUFAF3,224.061162502333
ana3,ana,DNAH12,172.35474038641
ana3,ana,SNTN,308.912727000257
ana3,ana,AC079848.2,1.32580569528007
ana3,ana,CFAP100,50.3806164206428
ana3,ana,DZIP1L,37.1225594678421
ana3,ana,ERICH6-AS1,19.8870854292011
ana3,ana,WDR49,46.4031993348026
ana3,ana,LRRC34,59.6612562876034
ana3,ana,LINC01014,5.3032227811203
ana3,ana,HES1,282.396613094656
ana3,ana,LINC02265,7.95483417168045
ana3,ana,CFAP299,59.6612562876034
ana3,ana,AC098487.1,11.9322512575207
ana3,ana,NUDT6,11.9322512575207
ana3,ana,LINC01091,6.62902847640037
ana3,ana,PLK4,2.65161139056015
ana3,ana,SPATA4,17.235474038641
ana3,ana,TRIP13,19.8870854292011
ana3,ana,CAPSL,283.722418789936
ana3,ana,CDC20B,15.9096683433609
ana3,ana,PART1,6.62902847640037
ana3,ana,CENPK,9.28063986696052
ana3,ana,FAM169A,46.4031993348026
ana3,ana,ZNF474,25.1903082103214
ana3,ana,AC010255.3,10.6064455622406
ana3,ana,NME5,106.064455622406
ana3,ana,C6orf52,43.7515879442425
ana3,ana,AL022068.1,23.8645025150413
ana3,ana,LINC00240,26.5161139056015
ana3,ana,ZSCAN16-AS1,42.4257822489624
ana3,ana,HCG14,1.32580569528007
ana3,ana,HSPA1A,2869.04352458608
ana3,ana,C6orf226,31.8193366867218
ana3,ana,RSPH9,216.106328330652
ana3,ana,SPATS1,10.6064455622406
ana3,ana,GSTA1,631.083510953316
ana3,ana,IRAK1BP1,18.561279733921
ana3,ana,BACH2,18.561279733921
ana3,ana,FAM229B,369.899788983141
ana3,ana,LINC00326,5.3032227811203
ana3,ana,ADGB,55.6838392017631
ana3,ana,AL355312.4,6.62902847640037
ana3,ana,DYNLT1,1011.5897454987
ana3,ana,AC013470.2,10.6064455622406
ana3,ana,PCLO,258.532110579615
ana3,ana,AC002451.1,2.65161139056015
ana3,ana,AC105446.1,19.8870854292011
ana3,ana,EFCAB10,100.761232841286
ana3,ana,IQUB,112.693484098806
ana3,ana,AC006333.2,9.28063986696052
ana3,ana,PIP,104.738649927126
ana3,ana,RARRES2,147.164432176088
ana3,ana,PPP1R42,49.0548107253628
ana3,ana,AP001207.3,10.6064455622406
ana3,ana,BAALC,34.4709480772819
ana3,ana,C9orf24,601.915785657154
ana3,ana,FAM166B,50.3806164206428
ana3,ana,SPAG8,26.5161139056015
ana3,ana,AL353770.4,11.9322512575207
ana3,ana,C9orf135,393.764291498182
ana3,ana,PSAT1,350.01270355394
ana3,ana,MORN5,285.048224485216
ana3,ana,SPACA9,107.390261317686
ana3,ana,C9orf116,478.615855996107
ana3,ana,SFTA1P,15.9096683433609
ana3,ana,VIM-AS1,7.95483417168045
ana3,ana,SLC16A9,201.522465682571
ana3,ana,MRLN,7.95483417168045
ana3,ana,ANK3-DT,6.62902847640037
ana3,ana,CDK1,13.2580569528007
ana3,ana,CABCOCO1,86.1773701932049
ana3,ana,DYDC2,88.828981583765
ana3,ana,ANKRD22,55.6838392017631
ana3,ana,INA,67.6160904592838
ana3,ana,CASC2,26.5161139056015
ana3,ana,CDKN1C,124.625735356327
ana3,ana,C11orf16,21.2128911244812
ana3,ana,C11orf74,155.119266347769
ana3,ana,MAJIN,3.97741708584022
ana3,ana,CNIH2,10.6064455622406
ana3,ana,KLHL35,7.95483417168045
ana3,ana,CCDC81,11.9322512575207
ana3,ana,DEUP1,10.6064455622406
ana3,ana,C11orf97,145.838626480808
ana3,ana,CFAP300,131.254763832727
ana3,ana,AP003307.1,2.65161139056015
ana3,ana,AP002008.4,3.97741708584022
ana3,ana,C11orf88,412.325571232103
ana3,ana,PIH1D2,59.6612562876034
ana3,ana,CCDC153,172.35474038641
ana3,ana,SPA17,283.722418789936
ana3,ana,TP53AIP1,10.6064455622406
ana3,ana,MIR200CHG,30.4935309914417
ana3,ana,ST8SIA1,9.28063986696052
ana3,ana,AC023157.3,18.561279733921
ana3,ana,PRICKLE1,26.5161139056015
ana3,ana,AC008035.1,5.3032227811203
ana3,ana,CCDC65,80.8741474120846
ana3,ana,GIHCG,70.267701849844
ana3,ana,TSPAN19,144.512820785528
ana3,ana,CFAP73,96.7838157554455
ana3,ana,TEX26,55.6838392017631
ana3,ana,KCNRG,9.28063986696052
ana3,ana,LMO7-AS1,7.95483417168045
ana3,ana,AL096870.8,7.95483417168045
ana3,ana,LINC02300,7.95483417168045
ana3,ana,AL136038.5,30.4935309914417
ana3,ana,PPP1R36,9.28063986696052
ana3,ana,ACYP1,102.087038536566
ana3,ana,FOS,348.68689785866
ana3,ana,AL357093.2,285.048224485216
ana3,ana,CRIP1,1137.5412865503
ana3,ana,LINC02345,23.8645025150413
ana3,ana,DNAAF4,141.861209394968
ana3,ana,MNS1,295.654670047457
ana3,ana,AC027237.3,11.9322512575207
ana3,ana,AC023300.2,27.8419196008816
ana3,ana,CFAP161,27.8419196008816
ana3,ana,WDR93,9.28063986696052
ana3,ana,NHLRC4,17.235474038641
ana3,ana,AC108134.4,37.1225594678421
